                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3443,                  2.458,                 1.3488,                0.47471,                0.61515,                0.50263,                0.23519,                 1.8423,                 3.0532,                 1.7071,             0.00047127,             0.00047127,             0.00047127
                      2,                  1.503,                 1.7082,                  1.425,                0.41232,                0.48938,                0.41001,                0.17763,                 1.7443,                 12.659,                 1.6078,             0.00093294,             0.00093294,             0.00093294
                      3,                 1.4716,                 1.6067,                  1.395,                0.46916,                0.56228,                0.52167,                0.26964,                 1.4158,                 3.5947,                 1.4541,              0.0013799,              0.0013799,              0.0013799
                      4,                 1.4705,                 1.4936,                 1.4315,                0.75799,                0.87477,                0.85632,                0.48969,                 1.1917,                 1.5455,                 1.1924,              0.0013627,              0.0013627,              0.0013627
                      5,                 1.4346,                 1.4266,                 1.3903,                0.92492,                0.72932,                0.88007,                0.53619,                 1.1298,                  1.331,                 1.1583,              0.0013627,              0.0013627,              0.0013627
                      6,                 1.3959,                 1.3625,                  1.351,                0.85134,                0.78032,                0.85501,                0.49254,                 1.4297,                 1.2043,                 1.2512,              0.0013406,              0.0013406,              0.0013406
                      7,                 1.3545,                 1.2549,                 1.3376,                0.88982,                0.75275,                0.84417,                0.53544,                 1.1343,                 1.1544,                 1.1647,              0.0013185,              0.0013185,              0.0013185
                      8,                 1.2847,                  1.184,                 1.3018,                0.85998,                0.84152,                0.89501,                0.60335,                 1.0323,                 1.0767,                 1.1044,              0.0012964,              0.0012964,              0.0012964
                      9,                 1.2469,                 1.1012,                 1.2731,                0.82885,                0.84216,                 0.8682,                0.55488,                 1.1012,                 1.0191,                 1.0892,              0.0012743,              0.0012743,              0.0012743
                     10,                 1.2544,                 1.0917,                 1.2674,                0.92375,                0.86947,                0.93742,                0.61938,                 1.0194,                0.79996,                 1.1005,              0.0012522,              0.0012522,              0.0012522
                     11,                 1.2035,                 1.0318,                 1.2322,                0.94972,                0.92956,                0.96279,                0.66449,                0.98731,                0.71565,                 1.0792,              0.0012301,              0.0012301,              0.0012301
                     12,                 1.1923,                0.95362,                 1.2378,                0.93636,                0.91058,                0.96168,                0.63326,                 1.0458,                  0.704,                  1.086,               0.001208,               0.001208,               0.001208
                     13,                 1.1675,                0.94078,                  1.228,                0.96385,                0.93438,                0.97346,                0.68558,                0.91752,                0.65155,                 1.0571,              0.0011858,              0.0011858,              0.0011858
                     14,                 1.1693,                0.98655,                 1.2289,                 0.9645,                0.89886,                0.95281,                0.63577,                 1.0067,                0.83248,                 1.0848,              0.0011637,              0.0011637,              0.0011637
                     15,                 1.1593,                0.91202,                 1.1943,                0.90659,                0.93072,                0.93571,                 0.6165,                 1.0752,                0.69084,                 1.0718,              0.0011416,              0.0011416,              0.0011416
                     16,                  1.128,                0.87488,                 1.1847,                0.95494,                0.93532,                0.97912,                0.68145,                0.96889,                0.61004,                 1.0475,              0.0011195,              0.0011195,              0.0011195
                     17,                 1.1013,                0.86106,                 1.1715,                0.97304,                0.94925,                0.98586,                0.67683,                0.95245,                0.57112,                 1.0191,              0.0010974,              0.0010974,              0.0010974
                     18,                 1.0685,                 0.8371,                 1.1693,                0.87576,                0.91621,                0.95408,                0.67556,                0.91324,                 1.2263,                 1.0133,              0.0010753,              0.0010753,              0.0010753
                     19,                 1.0625,                0.81935,                 1.1513,                0.95997,                0.96089,                 0.9886,                 0.7155,                 0.8491,                0.52453,                0.98907,              0.0010532,              0.0010532,              0.0010532
                     20,                 1.0679,                0.83534,                 1.1715,                0.94495,                0.97343,                0.98806,                0.71564,                0.88519,                0.53071,                0.98794,              0.0010311,              0.0010311,              0.0010311
                     21,                 1.0682,                0.79014,                 1.1627,                0.96757,                0.96102,                 0.9861,                0.64549,                 1.0007,                0.55355,                 1.0261,               0.001009,               0.001009,               0.001009
                     22,                 1.0453,                0.78578,                 1.1351,                0.97507,                0.94616,                0.98503,                0.71164,                0.91601,                0.55905,                  1.008,              0.0009869,              0.0009869,              0.0009869
                     23,                 1.0395,                0.76483,                 1.1399,                0.96208,                0.95939,                0.97904,                0.65586,                 1.2036,                0.64429,                  1.098,              0.0009648,              0.0009648,              0.0009648
                     24,                 1.0043,                0.71752,                 1.1283,                0.93651,                0.97091,                0.98588,                0.71056,                0.87329,                0.51825,                0.99059,             0.00094269,             0.00094269,             0.00094269
                     25,                0.99057,                0.73423,                 1.1082,                0.94807,                0.94156,                0.97202,                0.70063,                0.88454,                0.52709,                0.98822,             0.00092059,             0.00092059,             0.00092059
                     26,                 1.0047,                0.73521,                 1.1201,                0.94332,                0.93399,                0.96798,                0.72236,                0.86597,                0.51963,                0.98973,             0.00089848,             0.00089848,             0.00089848
                     27,                 0.9682,                0.71234,                 1.1076,                0.96991,                 0.9482,                0.97343,                0.72431,                 0.8541,                0.48352,                0.97082,             0.00087638,             0.00087638,             0.00087638
                     28,                0.95993,                0.68119,                 1.1111,                0.96891,                0.98176,                0.99058,                0.73992,                0.83816,                0.47777,                0.97045,             0.00085427,             0.00085427,             0.00085427
                     29,                0.96049,                0.68117,                 1.1063,                0.96478,                0.95569,                0.98659,                0.69038,                0.97346,                0.51013,                 1.0125,             0.00083217,             0.00083217,             0.00083217
                     30,                0.94864,                0.66634,                 1.0875,                0.98451,                0.98893,                0.99189,                0.73462,                0.85595,                0.46804,                0.97514,             0.00081006,             0.00081006,             0.00081006
                     31,                0.95313,                0.67878,                  1.105,                0.97884,                0.97026,                0.98746,                0.71267,                0.95187,                0.51543,                 1.0066,             0.00078796,             0.00078796,             0.00078796
                     32,                0.93538,                0.66507,                 1.0807,                0.97802,                0.96886,                0.99144,                0.72601,                0.87852,                0.45555,                0.99462,             0.00076585,             0.00076585,             0.00076585
                     33,                0.90687,                0.64309,                 1.0737,                0.97446,                0.97642,                0.99013,                0.73137,                0.87098,                0.47731,                0.98794,             0.00074375,             0.00074375,             0.00074375
                     34,                 0.9237,                0.65737,                 1.0726,                0.95811,                0.98333,                0.98934,                0.72416,                0.85061,                0.47337,                0.97002,             0.00072164,             0.00072164,             0.00072164
                     35,                0.91273,                0.62089,                 1.0708,                0.93591,                0.97356,                 0.9812,                0.75755,                0.81937,                0.49613,                0.96491,             0.00069954,             0.00069954,             0.00069954
                     36,                0.88035,                0.61351,                 1.0617,                0.95477,                0.96771,                0.99011,                0.74362,                0.82178,                0.45054,                0.96506,             0.00067744,             0.00067744,             0.00067744
                     37,                0.85915,                0.58761,                 1.0451,                0.97638,                0.96965,                0.98877,                0.77058,                0.79467,                0.44699,                0.94662,             0.00065533,             0.00065533,             0.00065533
                     38,                0.86093,                0.60161,                 1.0565,                0.98091,                0.96054,                0.98964,                0.74728,                  0.749,                0.44115,                 0.9394,             0.00063323,             0.00063323,             0.00063323
                     39,                0.84712,                0.57991,                  1.054,                0.96567,                0.95399,                0.97385,                0.75937,                0.76131,                0.42869,                0.93976,             0.00061112,             0.00061112,             0.00061112
                     40,                0.84908,                0.59251,                 1.0518,                0.96862,                0.93699,                0.96928,                0.74961,                0.81894,                  0.439,                0.95565,             0.00058902,             0.00058902,             0.00058902
                     41,                0.86186,                 0.5893,                 1.0573,                0.97005,                0.96375,                0.98665,                 0.7623,                0.75811,                0.41758,                0.93672,             0.00056691,             0.00056691,             0.00056691
                     42,                 0.8454,                0.56032,                 1.0434,                0.95891,                0.97174,                0.97828,                0.76494,                0.75897,                0.42482,                0.92713,             0.00054481,             0.00054481,             0.00054481
                     43,                0.86341,                0.58539,                 1.0529,                0.94326,                0.98203,                0.97958,                0.77037,                0.78522,                0.41521,                0.94424,              0.0005227,              0.0005227,              0.0005227
                     44,                0.80494,                0.54646,                 1.0353,                0.97136,                0.95481,                0.98162,                0.77867,                0.74594,                0.39359,                0.93014,              0.0005006,              0.0005006,              0.0005006
                     45,                0.82516,                0.55504,                 1.0374,                0.95782,                0.94188,                 0.9683,                0.74628,                0.84752,                0.41144,                0.98242,             0.00047849,             0.00047849,             0.00047849
                     46,                0.79731,                 0.5494,                 1.0361,                0.95811,                0.99682,                0.99244,                0.77878,                0.79702,                0.41145,                0.93383,             0.00045639,             0.00045639,             0.00045639
                     47,                0.79773,                0.55257,                 1.0258,                0.98413,                0.96671,                0.98862,                0.76156,                0.76925,                0.39982,                0.94169,             0.00043428,             0.00043428,             0.00043428
                     48,                0.80141,                0.53127,                 1.0201,                0.96693,                0.98078,                0.98973,                0.77179,                0.75139,                0.38198,                0.93741,             0.00041218,             0.00041218,             0.00041218
                     49,                0.77663,                0.52426,                 1.0226,                0.98481,                 0.9799,                0.99115,                  0.788,                0.78224,                  0.407,                0.94153,             0.00039007,             0.00039007,             0.00039007
                     50,                0.75355,                0.50718,                 1.0074,                0.98762,                0.98772,                0.99029,                0.77782,                0.77288,                 0.3997,                0.94004,             0.00036797,             0.00036797,             0.00036797
                     51,                0.73605,                0.48606,                 1.0011,                0.98391,                0.99054,                 0.9909,                0.78841,                0.72955,                0.38877,                0.92518,             0.00034586,             0.00034586,             0.00034586
                     52,                0.73552,                0.49021,                0.99531,                0.97492,                0.95689,                0.98585,                0.78552,                0.78967,                0.40209,                0.93139,             0.00032376,             0.00032376,             0.00032376
                     53,                0.73719,                0.49788,                 1.0037,                0.98571,                0.97849,                0.99159,                0.78481,                0.76319,                0.37332,                 0.9291,             0.00030165,             0.00030165,             0.00030165
                     54,                0.74442,                0.47649,                0.99538,                0.98631,                0.98006,                0.99202,                0.80582,                 0.7213,                0.37981,                0.91734,             0.00027955,             0.00027955,             0.00027955
                     55,                0.67669,                0.39319,                0.95383,                0.96601,                0.98535,                0.99205,                0.77894,                0.74096,                0.37538,                0.91987,             0.00025744,             0.00025744,             0.00025744
                     56,                0.66631,                0.38307,                0.94364,                0.98192,                0.98686,                 0.9916,                0.79101,                0.72204,                0.37318,                0.91142,             0.00023534,             0.00023534,             0.00023534
                     57,                0.65445,                 0.3799,                0.93878,                0.98124,                0.98856,                0.99146,                0.78545,                0.73234,                0.38846,                0.91788,             0.00021323,             0.00021323,             0.00021323
                     58,                0.64037,                 0.3664,                0.92403,                0.98073,                0.98822,                0.99153,                 0.8009,                0.69277,                0.36266,                0.90768,             0.00019113,             0.00019113,             0.00019113
                     59,                0.61519,                0.36622,                0.92306,                0.97792,                0.98185,                0.99196,                0.79328,                 0.7126,                0.37866,                0.92122,             0.00016902,             0.00016902,             0.00016902
                     60,                0.60814,                0.35308,                0.91436,                0.98116,                0.98039,                0.99252,                0.79045,                 0.6925,                0.38146,                0.91286,             0.00014692,             0.00014692,             0.00014692
                     61,                0.60234,                 0.3503,                0.91293,                 0.9748,                0.98144,                0.99192,                0.80244,                0.68428,                0.35989,                0.90498,             0.00012481,             0.00012481,             0.00012481
                     62,                0.59515,                0.34821,                 0.9157,                0.98001,                0.98114,                0.99215,                0.78914,                0.70546,                0.36193,                0.91006,             0.00010271,             0.00010271,             0.00010271
